IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
IpAddress,188.39.212.18,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,172.104.138.223,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,45.148.10.241,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,45.137.23.232,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,40.77.167.99,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,165.227.113.185,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,180.149.125.169,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,20.77.248.90,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,27.38.61.21,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,20.203.44.176,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,184.105.247.194,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,60.191.125.35,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,54.38.192.19,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,106.75.169.79,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,43.255.216.26,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,141.98.83.139,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,209.141.55.121,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,67.205.170.85,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,43.131.23.132,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,85.133.13.21,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,186.33.68.168,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
IpAddress,23.183.83.167,,Block,High,Apache Log4j RCE Attempt,Apache Log4j RCE Attempt,,,SuspiciousActivity,,TRUE
